Campaign_ID,Campaign_Name,Marketing_Channel,Start_Date,End_Date,Impressions,Clicks,Conversions,Total_Spend,Revenue_Generated,Location,Age_Group,Gender,Duration_Days,ROI,CTR,Conversion_Rate,CPA
CMP33,Cart to Couch,Influencer Marketing,2023-02-22,2024-11-13,9080.0,4478.4,1833.6,4510.736,5924.912,Baia Mare,55+,Female,630,0.314,0.493,0.409,2.46
CMP34,Flash Sale Frenzy,Influencer Marketing,2022-05-15,2024-01-27,44702.4,17478.4,790.4,2041.584,4426.832,Galați,35-44,Male,622,1.168,0.391,0.045,2.583
CMP35,Wishlist Wonders,Social Media,2022-10-06,2024-06-24,3960.0,3411.2,2888.0,3153.312,11242.832,Baia Mare,45-54,Female,627,2.565,0.861,0.847,1.092
CMP36,Wishlist Wonders,Social Media,2022-08-24,2024-05-11,11288.0,4686.4,1595.2,1040.304,2510.96,Baia Mare,35-44,Male,626,1.414,0.415,0.34,0.652
CMP37,Shop & Share,Social Media,2023-02-21,2024-10-26,44769.6,7913.6,7825.6,2948.704,9967.488,Târgu Mureș,55+,Male,613,2.38,0.177,0.989,0.377
CMP38,Deal of the Day,Email,2022-05-23,2024-01-31,59278.4,45878.4,10750.4,4452.464,14085.04,Suceava,18-24,Female,618,2.163,0.774,0.234,0.414
CMP39,Seasonal Steals,Influencer Marketing,2023-02-26,2024-10-21,6028.8,3998.4,2931.2,5464.112,19566.464,Suceava,25-34,Female,603,2.581,0.663,0.733,1.864
CMP40,Deal of the Day,Influencer Marketing,2022-12-30,2024-09-15,61148.8,13182.4,10878.4,4695.696,15960.544,Târgu Mureș,25-34,Male,625,2.399,0.216,0.825,0.432
CMP41,Cart to Couch,Social Media,2022-09-05,2024-05-18,21875.2,8385.6,819.2,7198.864,20943.952,Suceava,35-44,Female,621,1.909,0.383,0.098,8.788
CMP42,Shop & Share,Paid Ads,2022-05-26,2024-02-15,59494.4,45912.0,993.6,6182.496,21350.032,Baia Mare,45-54,Female,630,2.453,0.772,0.022,6.222
CMP43,Wishlist Wonders,Email,2023-01-31,2024-09-28,31840.0,2931.2,601.6,6666.944,20824.016,Galați,25-34,Male,606,2.123,0.092,0.205,11.082
CMP44,Shop & Share,Social Media,2022-08-08,2024-04-21,79616.0,44310.4,39454.4,6912.896,14296.128,Galați,18-24,Male,622,1.068,0.557,0.89,0.175
CMP45,Deal of the Day,Social Media,2022-07-01,2024-03-16,55009.6,29523.2,13841.6,624.96,1763.328,Baia Mare,35-44,Male,624,1.822,0.537,0.469,0.045
CMP46,Shop & Share,Influencer Marketing,2023-01-09,2024-09-04,38636.8,10345.6,2990.4,554.16,888.496,Suceava,45-54,Male,604,0.603,0.268,0.289,0.185
CMP47,Seasonal Steals,Influencer Marketing,2022-10-16,2024-06-11,60272.0,33368.0,10921.6,4179.008,11902.624,Suceava,35-44,Male,604,1.848,0.554,0.327,0.383
CMP48,Wishlist Wonders,Influencer Marketing,2022-09-22,2024-06-01,21476.8,17140.8,12424.0,5163.264,7496.144,Suceava,55+,Female,618,0.452,0.798,0.725,0.416
CMP49,Deal of the Day,Email,2022-05-18,2024-01-09,70920.0,9288.0,3756.8,6028.48,14868.416,Bacău,55+,Male,601,1.466,0.131,0.404,1.605
CMP50,Seasonal Steals,Paid Ads,2022-09-29,2024-06-04,8694.4,3724.8,2020.8,503.744,1726.304,Galați,18-24,Male,614,2.427,0.428,0.543,0.249
CMP51,Flash Sale Frenzy,Social Media,2022-07-07,2024-03-08,36246.4,18328.0,1284.8,3681.424,9090.544,Târgu Mureș,35-44,Female,610,1.469,0.506,0.07,2.865
CMP52,Wishlist Wonders,Paid Ads,2022-12-16,2024-09-02,45992.0,40001.6,26392.0,4945.104,16891.152,Bacău,45-54,Male,626,2.416,0.87,0.66,0.187
CMP53,Deal of the Day,Social Media,2022-07-02,2024-03-14,11459.2,8475.2,22.4,7412.112,10573.52,Târgu Mureș,18-24,Male,621,0.427,0.74,0.003,330.898
CMP54,Cart to Couch,Social Media,2022-10-09,2024-06-25,8267.2,5008.0,651.2,5518.304,15205.328,Baia Mare,35-44,Female,625,1.755,0.606,0.13,8.474
CMP55,Deal of the Day,Influencer Marketing,2022-12-26,2024-09-05,20596.8,7659.2,2545.6,251.776,708.288,Galați,25-34,Male,619,1.813,0.372,0.332,0.099
CMP56,Wishlist Wonders,Email,2022-05-25,2024-01-26,25542.4,9393.6,4537.6,5560.816,21179.584,Galați,25-34,Male,611,2.809,0.368,0.483,1.225
CMP57,Seasonal Steals,Social Media,2023-03-04,2024-11-16,39273.6,29331.2,238.4,5795.6,11529.328,Târgu Mureș,35-44,Female,623,0.989,0.747,0.008,24.31
CMP58,Flash Sale Frenzy,Influencer Marketing,2022-10-17,2024-06-20,20720.0,2643.2,2129.6,5311.312,20086.832,Galați,45-54,Male,612,2.782,0.128,0.806,2.494
CMP59,Flash Sale Frenzy,Email,2022-09-26,2024-06-11,44851.2,6600.0,1470.4,1078.528,2127.888,Baia Mare,45-54,Male,624,0.973,0.147,0.223,0.733
CMP60,Wishlist Wonders,Email,2022-12-05,2024-08-25,44569.6,39780.8,23590.4,5372.848,17645.408,Suceava,45-54,Male,629,2.284,0.893,0.593,0.228
CMP61,Flash Sale Frenzy,Social Media,2022-05-15,2024-02-01,23411.2,17531.2,14062.4,3368.464,4092.112,Suceava,25-34,Female,627,0.215,0.749,0.802,0.24
CMP62,Deal of the Day,Influencer Marketing,2023-01-26,2024-10-14,79411.2,8710.4,3376.0,4245.024,12052.704,Galați,55+,Male,627,1.839,0.11,0.388,1.257
CMP63,Flash Sale Frenzy,Email,2023-02-05,2024-10-24,13120.0,3486.4,1056.0,1823.328,2396.816,Suceava,45-54,Female,627,0.315,0.266,0.303,1.727
CMP64,Cart to Couch,Paid Ads,2023-03-03,2024-11-17,34080.0,30784.0,16448.0,5055.808,11400.256,Baia Mare,25-34,Female,625,1.255,0.903,0.534,0.307
CMP65,Seasonal Steals,Paid Ads,2022-08-28,2024-05-18,47889.6,24296.0,21137.6,5872.496,7368.944,Suceava,55+,Male,629,0.255,0.507,0.87,0.278
CMP66,Wishlist Wonders,Paid Ads,2023-01-08,2024-09-03,75641.6,22774.4,377.6,7021.36,13144.208,Galați,35-44,Female,604,0.872,0.301,0.017,18.595
CMP67,Wishlist Wonders,Email,2022-06-21,2024-02-18,18787.2,13897.6,2268.8,7290.128,22887.968,Galați,45-54,Male,607,2.14,0.74,0.163,3.213
CMP68,Wishlist Wonders,Paid Ads,2022-08-07,2024-04-11,31948.8,12446.4,1216.0,3223.28,8304.864,Bacău,25-34,Male,613,1.577,0.39,0.098,2.651
CMP69,Wishlist Wonders,Influencer Marketing,2022-10-10,2024-06-27,54358.4,27353.6,12755.2,2913.536,9402.24,Suceava,25-34,Female,626,2.227,0.503,0.466,0.228
CMP70,Shop & Share,Email,2022-06-27,2024-03-13,16987.2,9499.2,1694.4,2429.552,6394.688,Suceava,35-44,Male,625,1.632,0.559,0.178,1.434
CMP71,Flash Sale Frenzy,Social Media,2022-07-15,2024-03-19,48096.0,44819.2,21297.6,7853.328,30497.584,Galați,55+,Male,613,2.883,0.932,0.475,0.369
CMP72,Deal of the Day,Paid Ads,2022-06-18,2024-02-25,7985.6,2928.0,1273.6,3104.848,12219.696,Galați,35-44,Female,617,2.936,0.367,0.435,2.438
CMP73,Cart to Couch,Paid Ads,2023-02-27,2024-11-04,56998.4,9363.2,950.4,3770.624,9570.608,Suceava,45-54,Male,616,1.538,0.164,0.102,3.967
CMP74,Cart to Couch,Influencer Marketing,2022-08-17,2024-04-14,44379.2,12782.4,6790.4,2069.536,3148.976,Galați,55+,Male,606,0.522,0.288,0.531,0.305
CMP75,Wishlist Wonders,Email,2022-08-04,2024-04-20,78080.0,65792.0,24940.8,3560.832,12793.072,Suceava,25-34,Male,625,2.593,0.843,0.379,0.143
CMP76,Deal of the Day,Influencer Marketing,2023-03-05,2024-10-26,42163.2,36440.0,7358.4,5052.352,14856.544,Suceava,45-54,Male,601,1.941,0.864,0.202,0.687
CMP77,Deal of the Day,Influencer Marketing,2022-07-28,2024-04-18,22734.4,19936.0,3859.2,4861.872,19308.016,Suceava,35-44,Male,630,2.971,0.877,0.194,1.26
CMP78,Shop & Share,Social Media,2022-10-26,2024-06-19,25409.6,10139.2,6958.4,7234.416,17080.544,Galați,18-24,Male,602,1.361,0.399,0.686,1.04
CMP79,Seasonal Steals,Email,2022-11-24,2024-07-26,18918.4,2984.0,1112.0,5787.104,14901.152,Târgu Mureș,35-44,Female,610,1.575,0.158,0.373,5.204
CMP80,Seasonal Steals,Social Media,2023-02-18,2024-10-27,43420.8,36108.8,8996.8,6136.08,13819.68,Baia Mare,45-54,Female,617,1.252,0.832,0.249,0.682
CMP81,Seasonal Steals,Email,2022-11-07,2024-07-03,62304.0,3755.2,537.6,6057.168,7809.008,Târgu Mureș,45-54,Male,604,0.289,0.06,0.143,11.267
CMP82,Shop & Share,Paid Ads,2022-12-25,2024-09-11,78168.0,38168.0,2283.2,4801.28,12214.08,Galați,55+,Male,626,1.544,0.488,0.06,2.103
CMP83,Seasonal Steals,Paid Ads,2022-08-28,2024-05-05,52144.0,31788.8,18432.0,4831.264,19119.856,Baia Mare,25-34,Female,616,2.958,0.61,0.58,0.262
CMP84,Seasonal Steals,Influencer Marketing,2023-02-09,2024-10-28,12747.2,6064.0,2462.4,1511.568,3944.176,Târgu Mureș,45-54,Male,627,1.609,0.476,0.406,0.614
CMP85,Wishlist Wonders,Paid Ads,2023-02-03,2024-10-21,46932.8,19675.2,6928.0,2874.864,4970.784,Baia Mare,18-24,Male,626,0.729,0.419,0.352,0.415
CMP86,Cart to Couch,Email,2022-07-17,2024-03-09,54475.2,14777.6,8174.4,7531.216,19521.408,Suceava,35-44,Female,601,1.592,0.271,0.553,0.921
CMP87,Shop & Share,Influencer Marketing,2023-01-04,2024-08-27,45742.4,308.8,118.4,2108.896,7506.832,Galați,45-54,Male,601,2.56,0.007,0.383,17.812
CMP88,Seasonal Steals,Email,2022-10-19,2024-06-29,21352.0,3310.4,1020.8,904.816,1432.48,Bacău,18-24,Male,619,0.583,0.155,0.308,0.886
CMP89,Seasonal Steals,Paid Ads,2023-02-28,2024-11-18,55739.2,49657.6,21342.4,3393.088,12190.768,Galați,45-54,Male,629,2.593,0.891,0.43,0.159
CMP90,Cart to Couch,Social Media,2023-01-02,2024-09-20,31265.6,10481.6,6766.4,6539.504,11561.2,Baia Mare,45-54,Male,627,0.768,0.335,0.646,0.966
CMP91,Wishlist Wonders,Email,2022-05-12,2024-01-18,77721.6,29940.8,2846.4,7171.088,12262.704,Suceava,25-34,Female,616,0.71,0.385,0.095,2.519
CMP92,Shop & Share,Influencer Marketing,2022-12-14,2024-08-08,3780.8,2443.2,822.4,931.472,2357.472,Târgu Mureș,55+,Female,603,1.531,0.646,0.337,1.133
CMP93,Flash Sale Frenzy,Paid Ads,2022-11-11,2024-07-14,17217.6,15728.0,2636.8,1985.968,2679.376,Galați,25-34,Male,611,0.349,0.913,0.168,0.753
CMP94,Shop & Share,Influencer Marketing,2022-10-21,2024-07-11,75099.2,53721.6,14304.0,7961.072,28582.064,Galați,45-54,Female,629,2.59,0.715,0.266,0.557
CMP95,Seasonal Steals,Email,2022-11-26,2024-08-08,39576.0,7590.4,6464.0,5860.048,14745.264,Galați,18-24,Female,621,1.516,0.192,0.852,0.907
CMP96,Wishlist Wonders,Influencer Marketing,2023-01-01,2024-08-26,76529.6,59977.6,12396.8,1351.44,1668.624,Târgu Mureș,25-34,Male,603,0.235,0.784,0.207,0.109
CMP97,Flash Sale Frenzy,Paid Ads,2022-06-15,2024-03-06,69201.6,48073.6,16912.0,7676.752,17207.824,Galați,35-44,Female,630,1.242,0.695,0.352,0.454
CMP98,Shop & Share,Influencer Marketing,2023-02-08,2024-10-22,52396.8,12156.8,11579.2,4499.232,14719.984,Bacău,45-54,Female,622,2.272,0.232,0.952,0.389
CMP99,Wishlist Wonders,Influencer Marketing,2022-06-17,2024-03-04,44478.4,1926.4,441.6,1380.816,2468.48,Suceava,25-34,Female,626,0.788,0.043,0.229,3.127
CMP100,Deal of the Day,Influencer Marketing,2022-11-30,2024-07-26,6945.6,2128.0,2028.8,3509.504,7428.784,Bacău,35-44,Male,604,1.117,0.306,0.953,1.73
CMP101,Deal of the Day,Paid Ads,2022-10-12,2024-06-06,5004.8,2182.4,19.2,2551.488,7986.896,Bacău,55+,Female,603,2.13,0.436,0.009,132.89
CMP102,Flash Sale Frenzy,Influencer Marketing,2022-12-12,2024-08-28,19878.4,14368.0,4857.6,7174.8,28108.576,Târgu Mureș,45-54,Male,625,2.918,0.723,0.338,1.477
CMP103,Shop & Share,Email,2022-11-27,2024-08-10,63246.4,33163.2,18712.0,5816.336,12764.048,Baia Mare,55+,Male,622,1.195,0.524,0.564,0.311
CMP104,Shop & Share,Email,2022-10-29,2024-06-23,48364.8,20800.0,13102.4,324.864,632.896,Suceava,35-44,Male,603,0.948,0.43,0.63,0.025
CMP105,Shop & Share,Email,2022-08-12,2024-04-24,39297.6,33660.8,13484.8,3494.736,12373.68,Baia Mare,25-34,Male,621,2.541,0.857,0.401,0.259
CMP106,Wishlist Wonders,Email,2022-05-18,2024-01-09,30819.2,22252.8,17608.0,1890.688,5092.832,Suceava,18-24,Male,601,1.694,0.722,0.791,0.107
CMP107,Wishlist Wonders,Influencer Marketing,2022-08-30,2024-05-19,7387.2,408.0,164.8,7346.048,9234.912,Suceava,18-24,Female,628,0.257,0.055,0.404,44.576
CMP108,Deal of the Day,Email,2022-06-01,2024-02-21,67809.6,33475.2,31009.6,2363.248,7268.176,Baia Mare,18-24,Male,630,2.076,0.494,0.926,0.076
CMP109,Shop & Share,Influencer Marketing,2022-06-13,2024-02-22,18051.2,16305.6,12868.8,6774.832,15144.352,Baia Mare,18-24,Male,619,1.235,0.903,0.789,0.526
CMP110,Cart to Couch,Email,2023-03-01,2024-11-09,37153.6,34244.8,32267.2,7247.632,17878.48,Bacău,45-54,Female,619,1.467,0.922,0.942,0.225
CMP111,Deal of the Day,Influencer Marketing,2023-02-01,2024-10-09,53676.8,1627.2,1150.4,4628.144,7853.552,Suceava,18-24,Male,616,0.697,0.03,0.707,4.023
CMP112,Wishlist Wonders,Influencer Marketing,2023-02-02,2024-10-22,42980.8,15252.8,5744.0,6521.968,13433.936,Târgu Mureș,25-34,Male,628,1.06,0.355,0.377,1.135
CMP113,Shop & Share,Paid Ads,2022-10-03,2024-06-16,57070.4,22198.4,7563.2,2489.936,6512.832,Galați,18-24,Male,622,1.616,0.389,0.341,0.329
CMP114,Flash Sale Frenzy,Social Media,2022-05-24,2024-01-18,77916.8,38212.8,619.2,3117.936,6080.768,Galați,45-54,Female,604,0.95,0.49,0.016,5.035
CMP115,Flash Sale Frenzy,Influencer Marketing,2022-05-25,2024-02-07,50622.4,31958.4,7756.8,5649.344,10538.544,Baia Mare,45-54,Male,623,0.865,0.631,0.243,0.728
CMP116,Deal of the Day,Paid Ads,2022-09-25,2024-05-28,25553.6,12312.0,11579.2,5853.344,18178.8,Bacău,18-24,Male,611,2.106,0.482,0.94,0.506
CMP117,Shop & Share,Paid Ads,2022-06-14,2024-02-24,41076.8,2761.6,2750.4,5731.824,20439.264,Târgu Mureș,18-24,Female,620,2.566,0.067,0.996,2.084
CMP118,Shop & Share,Paid Ads,2022-11-08,2024-07-23,45347.2,20232.0,8484.8,1885.76,5564.72,Bacău,45-54,Male,623,1.951,0.446,0.419,0.222
CMP119,Cart to Couch,Email,2022-10-09,2024-06-09,73038.4,71403.2,50574.4,7579.728,12131.344,Târgu Mureș,35-44,Female,609,0.6,0.978,0.708,0.15
CMP120,Shop & Share,Paid Ads,2022-09-02,2024-05-05,2489.6,2022.4,969.6,3691.632,11307.184,Târgu Mureș,18-24,Male,611,2.063,0.812,0.479,3.807
CMP121,Flash Sale Frenzy,Paid Ads,2023-01-30,2024-10-02,71198.4,40614.4,31467.2,4872.704,14840.288,Galați,35-44,Male,611,2.046,0.57,0.775,0.155
CMP122,Deal of the Day,Email,2022-12-29,2024-09-08,45956.8,2438.4,2104.0,2736.272,8540.528,Bacău,18-24,Male,619,2.121,0.053,0.863,1.301
CMP123,Cart to Couch,Paid Ads,2022-06-08,2024-02-03,10721.6,1416.0,153.6,1667.632,2963.152,Baia Mare,45-54,Female,605,0.777,0.132,0.108,10.857
CMP124,Deal of the Day,Paid Ads,2023-03-04,2024-11-10,2216.0,204.8,148.8,3447.888,5292.688,Suceava,25-34,Male,617,0.535,0.092,0.727,23.171
CMP125,Wishlist Wonders,Social Media,2022-10-30,2024-07-06,77665.6,26659.2,14467.2,2019.12,3863.488,Galați,35-44,Male,615,0.913,0.343,0.543,0.14
CMP126,Wishlist Wonders,Social Media,2023-01-22,2024-09-19,10952.0,7019.2,6078.4,7170.8,19898.96,Târgu Mureș,25-34,Male,606,1.775,0.641,0.866,1.18
CMP127,Wishlist Wonders,Paid Ads,2022-10-07,2024-05-30,10664.0,5555.2,2603.2,4310.048,12820.784,Baia Mare,45-54,Male,601,1.975,0.521,0.469,1.656
CMP128,Deal of the Day,Social Media,2022-12-21,2024-08-22,70443.2,55912.0,23091.2,3044.432,9953.616,Bacău,35-44,Male,610,2.269,0.794,0.413,0.132
CMP129,Wishlist Wonders,Influencer Marketing,2023-02-22,2024-10-21,68305.6,64881.6,63155.2,812.576,2677.36,Suceava,18-24,Male,607,2.295,0.95,0.973,0.013
CMP130,Deal of the Day,Paid Ads,2023-01-29,2024-10-06,41916.8,23310.4,3732.8,5977.824,21368.4,Suceava,18-24,Female,616,2.575,0.556,0.16,1.601
CMP131,Flash Sale Frenzy,Email,2022-08-13,2024-04-05,33492.8,17564.8,12366.4,763.984,1662.288,Târgu Mureș,55+,Female,601,1.176,0.524,0.704,0.062
CMP132,Flash Sale Frenzy,Influencer Marketing,2023-02-01,2024-09-25,35904.0,8403.2,4416.0,2053.584,5069.888,Galați,35-44,Female,602,1.469,0.234,0.526,0.465
CMP133,Cart to Couch,Influencer Marketing,2022-05-25,2024-02-03,77288.0,66678.4,64001.6,3973.984,15061.84,Bacău,25-34,Female,619,2.79,0.863,0.96,0.062
CMP134,Seasonal Steals,Paid Ads,2023-03-05,2024-11-15,18916.8,8966.4,8235.2,961.792,2959.392,Baia Mare,35-44,Female,621,2.077,0.474,0.918,0.117
CMP135,Deal of the Day,Social Media,2022-05-27,2024-02-15,44568.0,15536.0,6870.4,1108.72,2749.344,Bacău,18-24,Male,629,1.48,0.349,0.442,0.161
CMP136,Flash Sale Frenzy,Social Media,2022-10-03,2024-06-04,45704.0,24408.0,4739.2,4982.144,13957.168,Galați,18-24,Male,610,1.801,0.534,0.194,1.051
CMP137,Shop & Share,Social Media,2022-11-02,2024-07-17,45432.0,22483.2,9411.2,2740.8,7186.432,Târgu Mureș,45-54,Female,623,1.622,0.495,0.419,0.291
CMP138,Wishlist Wonders,Influencer Marketing,2022-12-02,2024-08-04,44907.2,15875.2,15052.8,4118.64,12761.6,Suceava,25-34,Female,611,2.098,0.354,0.948,0.274
CMP139,Seasonal Steals,Email,2023-03-01,2024-11-17,72038.4,25787.2,9124.8,6042.8,7371.568,Bacău,18-24,Male,627,0.22,0.358,0.354,0.662
CMP140,Flash Sale Frenzy,Paid Ads,2022-07-11,2024-03-05,22572.8,3147.2,201.6,7876.304,29370.08,Bacău,25-34,Female,603,2.729,0.139,0.064,39.069
CMP141,Cart to Couch,Paid Ads,2022-12-01,2024-08-22,14926.4,3008.0,2430.4,6530.112,17662.688,Baia Mare,35-44,Female,630,1.705,0.202,0.808,2.687
CMP142,Seasonal Steals,Influencer Marketing,2022-10-14,2024-06-16,69296.0,52046.4,20448.0,7946.08,18811.984,Suceava,18-24,Female,611,1.367,0.751,0.393,0.389
CMP143,Flash Sale Frenzy,Paid Ads,2022-06-28,2024-03-10,9659.2,6993.6,5774.4,4163.696,9834.928,Baia Mare,35-44,Male,621,1.362,0.724,0.826,0.721
CMP144,Flash Sale Frenzy,Paid Ads,2022-12-05,2024-08-02,18099.2,17811.2,14377.6,6695.456,18014.576,Galați,25-34,Male,606,1.691,0.984,0.807,0.466
CMP145,Wishlist Wonders,Influencer Marketing,2022-06-19,2024-03-02,30307.2,18788.8,2995.2,4736.736,17719.344,Suceava,55+,Male,622,2.741,0.62,0.159,1.581
CMP146,Cart to Couch,Email,2022-06-06,2024-02-11,30860.8,13572.8,9411.2,5182.352,13372.4,Baia Mare,18-24,Female,615,1.58,0.44,0.693,0.551
CMP147,Wishlist Wonders,Paid Ads,2022-07-23,2024-03-18,64078.4,11499.2,6772.8,6032.464,14495.456,Galați,55+,Male,604,1.403,0.179,0.589,0.891
CMP148,Cart to Couch,Social Media,2022-11-20,2024-08-10,78990.4,31100.8,26028.8,1594.624,5888.96,Galați,18-24,Female,629,2.693,0.394,0.837,0.061
CMP149,Flash Sale Frenzy,Social Media,2022-05-21,2024-01-31,15185.6,10249.6,4742.4,307.072,968.128,Bacău,55+,Male,620,2.153,0.675,0.463,0.065
CMP150,Wishlist Wonders,Paid Ads,2022-06-01,2024-02-13,11657.6,9462.4,5022.4,7866.4,22491.68,Târgu Mureș,45-54,Male,622,1.859,0.812,0.531,1.566
CMP151,Wishlist Wonders,Paid Ads,2022-11-07,2024-07-26,9708.8,5526.4,1145.6,2893.536,7808.816,Baia Mare,55+,Male,627,1.699,0.569,0.207,2.526
CMP152,Flash Sale Frenzy,Paid Ads,2023-01-20,2024-10-06,50315.2,4392.0,2020.8,6590.288,13848.864,Târgu Mureș,35-44,Male,625,1.101,0.087,0.46,3.261
CMP153,Flash Sale Frenzy,Email,2022-08-16,2024-04-22,8740.8,777.6,182.4,1752.544,3926.688,Bacău,45-54,Male,615,1.241,0.089,0.235,9.608
